Id,SalePrice
1461,122869.58059692408
1462,165281.7769434726
1463,187220.7604788352
1464,193654.96241934417
1465,194800.29452726594
1466,175441.92438540107
1467,177050.9940566384
1468,166765.9849955264
1469,178664.64654277355
1470,123832.51277847569
1471,205867.34820639313
1472,100621.24036498959
1473,96310.70834586603
1474,153194.90961299307
1475,115784.07798562215
1476,404270.9644652804
1477,268184.01880213455
1478,294486.1781594523
1479,267875.7188132249
1480,496645.6915068472
1481,292969.4485197958
1482,201572.70565300641
1483,168794.13947462884
1484,159339.63036852525
1485,182605.3060318357
1486,196009.5806126427
1487,347831.3064808995
1488,222483.4126927146
1489,225406.97198715727
1490,238952.8448383507
1491,190305.5213736094
1492,90087.02818533492
1493,182653.4563606112
1494,293685.45149913174
1495,281531.802568526
1496,232571.47463314715
1497,182950.90734048805
1498,161185.63519302176
1499,162152.3925078063
1500,155572.04932359685
1501,173284.66747657963
1502,146475.3721406503
1503,313561.55202468653
1504,238353.05712210273
1505,223050.8008559833
1506,174139.52806994432
1507,235480.42663718166
1508,198537.4617237464
1509,161259.25572827426
1510,153302.1675691386
1511,144849.0209620491
1512,173315.2501968787
1513,151160.06516748123
1514,187603.42065657844
1515,191244.08413756394
1516,143527.49316215323
1517,163258.6301701783
1518,130126.32988706825
1519,239982.0605847323
1520,136678.63666123315
1521,138199.0394262567
1522,179171.6321619018
1523,112778.82332434706
1524,126412.3857185238
1525,123546.92914644678
1526,113213.77413944835
1527,106908.92488184565
1528,138291.25979660533
1529,152188.12831132617
1530,171742.51332168095
1531,107166.35254763266
1532,94253.25470626079
1533,157326.9510428774
1534,123387.16303067486
1535,152467.37547465152
1536,96838.26480711326
1537,56572.73064387462
1538,167612.93927848773
1539,212527.66224901538
1540,90060.87395410035
1541,146003.47246805535
1542,140750.42530261588
1543,202880.37887479147
1544,82595.57450578449
1545,112535.67400557757
1546,136232.2403547304
1547,141639.53942557127
1548,144452.13082085762
1549,124294.20083055692
1550,141742.03218871262
1551,112491.07247853838
1552,150159.038496948
1553,166289.60431534212
1554,109735.42183201066
1555,162111.63419169694
1556,78354.38761844437
1557,120370.55637800817
1558,99989.96634627957
1559,81248.8498737542
1560,128953.68193771082
1561,137183.1554626908
1562,133344.20198932005
1563,119260.63921288833
1564,159270.32577010852
1565,145282.10033719367
1566,231787.41347370174
1567,71107.1107986364
1568,235719.81778221554
1569,143488.89171260863
1570,136274.91674923373
1571,119326.82171527727
1572,141235.6354052861
1573,260014.03955805008
1574,115683.42047888073
1575,218627.38340360412
1576,256682.2981844817
1577,199623.39907034757
1578,143915.7117405635
1579,157928.39745417007
1580,196146.6487586039
1581,164616.06296387158
1582,128831.41592742143
1583,348244.61157830263
1584,230948.77932420245
1585,138968.05961184524
1586,74639.12239524921
1587,97008.35837424702
1588,142998.46348287674
1589,102858.63073798986
1590,137834.51104635806
1591,93971.3199942513
1592,118153.64765515635
1593,129862.0783048397
1594,168933.97529140266
1595,119210.97819953934
1596,232254.54643693176
1597,187936.62988708867
1598,202732.94769330445
1599,183355.59395983926
1600,179756.5313104013
1601,71946.83028479727
1602,118874.68643667933
1603,95913.941762494
1604,268968.19228432083
1605,236495.98822845123
1606,172747.00975812084
1607,159959.72761764817
1608,214519.7918894438
1609,198287.3035724214
1610,151660.16020462185
1611,129945.4842943437
1612,168884.78282368628
1613,165280.22029948022
1614,119058.89705985422
1615,91340.27763775816
1616,71769.677887435
1617,96476.0019788502
1618,124571.97537877712
1619,145002.4536577989
1620,171096.82518048328
1621,142618.20497890149
1622,136109.813312465
1623,300966.4412812733
1624,208315.00737875476
1625,127327.71048997255
1626,163532.51875295973
1627,198012.34719915682
1628,268829.81619333214
1629,182156.15348094632
1630,355486.2758743398
1631,212823.2618428728
1632,232244.10128886707
1633,170176.86503247623
1634,186324.2040111364
1635,177328.86818262827
1636,148874.55056900083
1637,205780.14921744366
1638,180146.66533996936
1639,179485.2788452396
1640,247588.32958174404
1641,174291.65685010888
1642,239635.52634743627
1643,217239.90513706484
1644,225481.83689178052
1645,189075.50852433266
1646,160586.96551208652
1647,155941.3326360551
1648,127829.42692583668
1649,138367.6298819244
1650,113892.14065158907
1651,123799.27233420711
1652,99235.11813742394
1653,101389.53657511363
1654,145249.86035997618
1655,145032.04724191662
1656,146029.58658495094
1657,150944.39694608373
1658,144211.57905310736
1659,122967.1654030773
1660,160124.3793339641
1661,454156.1742325903
1662,387856.6296776249
1663,362052.6760128482
1664,430172.8800983978
1665,324949.8818909806
1666,344302.74356422963
1667,387809.95568282856
1668,358708.82576814154
1669,285634.3022401225
1670,352716.1058961771
1671,270218.2766719737
1672,473448.11921989446
1673,323603.7286422218
1674,235508.23884755923
1675,190384.7694898856
1676,194209.17685389615
1677,220703.91833701858
1678,419043.10263394756
1679,404508.763360992
1680,339928.042163417
1681,269782.9959827278
1682,293349.6108535558
1683,181560.9762615874
1684,171441.25320443368
1685,167581.92092161227
1686,167076.26631623675
1687,165670.79364830354
1688,185594.88187271653
1689,191511.12369708729
1690,191499.39008364707
1691,181803.79718530993
1692,256070.73274944804
1693,166865.75456058182
1694,181628.0286485694
1695,166672.54064487852
1696,271952.68617029744
1697,175796.82048287295
1698,385939.76366522006
1699,355178.0384777019
1700,237031.2576547285
1701,248329.37646161276
1702,251297.23503518323
1703,237386.89845800705
1704,300131.9518122744
1705,221579.9787582544
1706,427921.85071430815
1707,223470.71412015025
1708,218596.5337984867
1709,269672.80450152035
1710,219992.47221971222
1711,255700.48925818247
1712,274118.51223775226
1713,284355.16778109013
1714,215628.65017231353
1715,213098.21273782
1716,196028.83253356811
1717,177725.64884913966
1718,137105.97426116033
1719,190677.35839451913
1720,253590.3968924985
1721,173851.07575828512
1722,129452.3314285909
1723,161203.95422933498
1724,227079.94208566748
1725,239156.797943614
1726,186478.79657776278
1727,160839.1155472819
1728,181180.4044677713
1729,168233.97576760588
1730,160522.53379291005
1731,124655.4502961454
1732,120729.17525635248
1733,121456.00935733673
1734,129011.52361292223
1735,134196.41874155556
1736,117541.78049849955
1737,393367.4534892525
1738,220856.0609476693
1739,299757.87672457146
1740,240524.07036740473
1741,210855.33793364002
1742,172130.85577924372
1743,175350.68620730253
